Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Predicted LTV
AZ75509,Arizona,2479.920134,No,Basic,Bachelor,1/14/11,Employed,F,31678,Rural,Married,63,7,3,0,1,Personal Auto,Personal L2,Offer2,Branch,76.629988,Two-Door Car,Medsize,2498.8734820699983
No93155,Arizona,7200.566588,No,Basic,Master,2/12/11,Disabled,M,28245,Suburban,Married,62,0,16,0,2,Personal Auto,Personal L3,Offer1,Agent,297.6,Two-Door Car,Medsize,7794.119841990008
FG21322,Oregon,7917.119912,No,Basic,Bachelor,1/22/11,Unemployed,F,0,Suburban,Single,72,0,97,0,2,Personal Auto,Personal L1,Offer2,Web,345.6,Four-Door Car,Medsize,9624.58250209001
GO44613,Nevada,24061.11048,No,Basic,High School or Below,1/23/11,Medical Leave,F,19168,Suburban,Married,106,12,54,1,2,Personal Auto,Personal L1,Offer1,Branch,508.8,SUV,Medsize,22778.557235899996
ZW93288,California,19160.98994,Yes,Extended,Master,2/20/11,Employed,F,22705,Suburban,Divorced,239,19,59,0,7,Personal Auto,Personal L1,Offer2,Agent,1294.700423,Luxury SUV,Medsize,19147.6056781
MS67230,Nevada,23295.06014,No,Basic,College,1/27/11,Employed,F,86481,Urban,Single,65,9,69,0,2,Corporate Auto,Corporate L1,Offer1,Agent,189.971267,Two-Door Car,Small,19331.16278414998
FQ32742,Arizona,7553.936525,No,Basic,Doctor,1/24/11,Employed,M,38008,Urban,Divorced,68,12,40,4,2,Personal Auto,Personal L2,Offer2,Agent,321.789644,Four-Door Car,Medsize,8784.349046850011
YF30946,California,2405.618791,No,Basic,College,2/19/11,Employed,M,63032,Suburban,Married,61,5,79,0,1,Personal Auto,Personal L3,Offer2,Agent,404.550554,Four-Door Car,Medsize,2417.1062537399976
TH69908,Washington,4865.371797,No,Extended,College,1/25/11,Employed,F,27228,Rural,Married,129,19,61,4,1,Personal Auto,Personal L3,Offer4,Branch,238.262773,Sports Car,Medsize,4924.724314400001
QA78691,Nevada,16388.09542,No,Basic,Bachelor,1/13/11,Unemployed,F,0,Suburban,Single,68,5,4,1,2,Personal Auto,Personal L2,Offer2,Call Center,483.578159,Four-Door Car,Large,15743.267017089993
NL44360,Oregon,2611.14858,No,Basic,Bachelor,1/23/11,Retired,F,13424,Suburban,Divorced,71,30,78,0,1,Personal Auto,Personal L3,Offer3,Call Center,340.8,Four-Door Car,Medsize,2621.018497630002
HO77809,Oregon,8688.754812,No,Basic,College,1/27/11,Employed,F,59098,Suburban,Divorced,110,31,73,0,3,Personal Auto,Personal L3,Offer2,Agent,665.931223,SUV,Medsize,8746.321308390003
MC30750,Oregon,13736.1325,Yes,Premium,Master,2/13/11,Disabled,F,16181,Suburban,Divorced,181,22,79,0,8,Personal Auto,Personal L2,Offer1,Web,1261.319869,SUV,Medsize,13718.498998099998
HU41273,Oregon,8564.768226,Yes,Basic,High School or Below,2/17/11,Employed,M,95697,Rural,Married,107,29,29,0,9,Personal Auto,Personal L2,Offer2,Agent,178.006524,Sports Car,Medsize,8571.56401383001
VS73599,Arizona,7019.177186,Yes,Basic,College,1/23/11,Retired,M,26806,Suburban,Married,63,32,19,0,2,Personal Auto,Personal L2,Offer1,Agent,302.4,Four-Door Car,Medsize,7304.8904092300045
TO74000,Oregon,8114.409136,No,Basic,High School or Below,2/8/11,Employed,M,30595,Suburban,Married,69,22,36,0,2,Corporate Auto,Corporate L2,Offer1,Agent,446.08476,Four-Door Car,Medsize,8843.80253450999
MS45259,Nevada,4864.382304,No,Basic,College,2/27/11,Employed,M,88079,Rural,Married,61,16,37,0,3,Personal Auto,Personal L2,Offer2,Agent,121.88814,Two-Door Car,Medsize,4868.178211120006
LI45265,Oregon,8569.422637,No,Basic,Bachelor,1/10/11,Employed,F,99803,Urban,Married,71,1,67,0,2,Personal Auto,Personal L2,Offer2,Call Center,189.143402,Four-Door Car,Small,11164.169917969988
LK70293,Nevada,17793.60797,No,Premium,High School or Below,2/18/11,Unemployed,F,0,Suburban,Married,118,26,43,0,2,Personal Auto,Personal L3,Offer1,Web,1118.990694,Four-Door Car,Large,18027.844211100004
FY24370,Oregon,12944.18562,No,Basic,Bachelor,2/14/11,Unemployed,M,0,Suburban,Single,191,27,49,0,3,Personal Auto,Personal L3,Offer1,Agent,1375.2,Luxury Car,Medsize,13238.48699879999
YE64125,Oregon,2649.207711,No,Basic,College,1/8/11,Employed,F,36283,Urban,Divorced,68,14,63,1,1,Personal Auto,Personal L2,Offer1,Call Center,291.410965,Four-Door Car,Medsize,2673.4099739200005
QT39025,Arizona,4582.899414,No,Basic,Bachelor,1/18/11,Employed,F,66991,Urban,Married,115,1,71,0,1,Personal Auto,Personal L3,Offer2,Branch,399.617715,SUV,Medsize,4582.353850389999
LO15516,California,2691.70088,No,Basic,Bachelor,1/1/11,Employed,M,34322,Suburban,Married,70,20,46,2,1,Corporate Auto,Corporate L2,Offer2,Agent,336.0,Four-Door Car,Medsize,2714.8190759599993
FM47139,Oregon,2466.376803,No,Basic,College,2/20/11,Employed,F,44855,Rural,Married,63,3,71,1,1,Personal Auto,Personal L3,Offer2,Branch,103.607499,Four-Door Car,Medsize,2472.2338423899982
LW59140,Arizona,9277.472901,No,Premium,Bachelor,1/4/11,Employed,M,97729,Rural,Married,115,4,48,1,7,Personal Auto,Personal L1,Offer3,Branch,221.047584,Four-Door Car,Large,9251.274899069998
JA26024,Oregon,4142.561212,No,Premium,High School or Below,1/25/11,Employed,F,48263,Suburban,Married,104,2,32,0,1,Personal Auto,Personal L3,Offer2,Branch,674.863718,Two-Door Car,Small,4137.018767709993
YF16441,California,27990.27159,No,Extended,Bachelor,1/18/11,Employed,F,68343,Suburban,Single,79,20,78,0,2,Personal Auto,Personal L2,Offer2,Call Center,379.2,Two-Door Car,Medsize,23201.598685430003
QT43282,Oregon,9409.143498,No,Basic,Master,2/25/11,Employed,M,76847,Rural,Single,118,16,52,0,3,Corporate Auto,Corporate L3,Offer1,Call Center,31.58501,SUV,Medsize,9392.796563009995
NL17964,Oregon,2581.022016,No,Basic,High School or Below,1/24/11,Employed,M,35795,Suburban,Married,65,25,53,0,1,Personal Auto,Personal L3,Offer1,Agent,312.0,Four-Door Car,Medsize,2581.1529878000015
CD27895,California,7637.111954,No,Basic,Bachelor,1/14/11,Unemployed,F,0,Suburban,Single,71,1,29,0,2,Personal Auto,Personal L2,Offer1,Call Center,340.8,Four-Door Car,Large,10072.078948729993
CF62992,Oregon,2471.077732,No,Basic,High School or Below,1/16/11,Employed,F,53074,Urban,Married,61,5,86,0,1,Personal Auto,Personal L2,Offer1,Agent,268.773368,Two-Door Car,Medsize,2457.462895060002
QK23742,California,2302.818965,No,Basic,College,2/11/11,Unemployed,F,0,Suburban,Single,63,13,48,0,1,Corporate Auto,Corporate L2,Offer3,Web,732.638975,Four-Door Car,Large,2262.1695847000046
UV64489,Arizona,8716.368952,No,Basic,Bachelor,2/14/11,Employed,F,28743,Suburban,Single,112,9,13,0,3,Personal Auto,Personal L3,Offer3,Call Center,537.6,SUV,Medsize,8713.280295900011
ED65109,California,5207.985921,No,Basic,College,1/7/11,Employed,F,81839,Rural,Married,65,23,39,1,4,Personal Auto,Personal L1,Offer1,Agent,74.666163,Four-Door Car,Medsize,5203.391796040009
SC40169,Oregon,2719.506996,Yes,Basic,College,1/24/11,Retired,F,14030,Suburban,Married,72,11,3,0,1,Personal Auto,Personal L2,Offer2,Branch,345.6,Two-Door Car,Large,2721.3774141100043
PW88443,Oregon,2452.726922,No,Basic,College,1/28/11,Employed,F,32764,Suburban,Married,61,30,23,0,1,Personal Auto,Personal L2,Offer4,Web,292.953446,Two-Door Car,Small,2424.4967897700003
YZ38778,Oregon,3829.090645,No,Extended,Master,1/18/11,Employed,M,74775,Suburban,Divorced,95,18,35,0,1,Personal Auto,Personal L1,Offer2,Web,676.658911,Four-Door Car,Small,3792.908805900002
EO77382,Arizona,8873.525122,No,Premium,Bachelor,2/14/11,Employed,F,53503,Suburban,Single,114,3,43,0,7,Personal Auto,Personal L1,Offer1,Agent,547.2,Four-Door Car,Medsize,8973.916950980003
SM42728,California,15925.05739,No,Extended,College,2/2/11,Employed,M,34455,Suburban,Married,135,8,69,0,2,Personal Auto,Personal L2,Offer2,Call Center,648.0,SUV,Medsize,17953.361773899982
PX31667,Washington,2952.360309,No,Basic,High School or Below,2/3/11,Employed,M,52198,Suburban,Married,74,2,62,0,1,Personal Auto,Personal L3,Offer1,Branch,355.2,Two-Door Car,Small,2932.1228335599985
NC35008,Oregon,15923.95503,No,Extended,College,1/28/11,Employed,F,64429,Rural,Married,133,1,58,2,2,Personal Auto,Personal L3,Offer3,Call Center,222.080015,SUV,Medsize,19451.28543880002
XC77244,Oregon,7285.030983,Yes,Basic,High School or Below,2/28/11,Employed,M,44788,Suburban,Married,61,6,48,0,2,Personal Auto,Personal L3,Offer2,Agent,386.031248,Four-Door Car,Small,7827.450803589985
UM52895,California,13104.30284,No,Basic,Bachelor,1/26/11,Employed,F,30130,Suburban,Married,110,22,12,0,2,Personal Auto,Personal L3,Offer1,Call Center,528.0,SUV,Small,21717.442932900005
WV39838,Arizona,2436.839358,No,Basic,College,2/8/11,Unemployed,F,0,Rural,Married,65,34,84,0,1,Personal Auto,Personal L3,Offer2,Branch,149.241472,Two-Door Car,Large,2434.7598771999988
IT92328,Nevada,9350.872287,No,Premium,High School or Below,2/22/11,Unemployed,M,0,Suburban,Single,275,3,64,1,1,Corporate Auto,Corporate L3,Offer1,Agent,1980.0,Luxury SUV,Medsize,9943.959932929987
QD86074,Oregon,9035.671134,Yes,Premium,High School or Below,1/21/11,Employed,F,34337,Suburban,Married,113,20,44,0,9,Corporate Auto,Corporate L1,Offer2,Web,542.4,Four-Door Car,Large,9034.40938983998
WH80404,California,17250.74771,No,Basic,High School or Below,1/28/11,Employed,M,22276,Suburban,Married,111,19,73,1,2,Personal Auto,Personal L2,Offer3,Call Center,783.211084,SUV,Medsize,18401.74343250002
XH20787,California,2549.080421,No,Basic,College,2/18/11,Employed,M,52980,Urban,Married,64,33,93,0,1,Personal Auto,Personal L2,Offer1,Branch,191.945693,Four-Door Car,Large,2541.019615499998
ZU50513,California,8954.840118,No,Basic,Bachelor,1/31/11,Employed,F,97736,Rural,Married,74,19,22,0,2,Personal Auto,Personal L2,Offer4,Agent,60.090984,Four-Door Car,Medsize,10701.818098490015
TW42649,Washington,2467.97792,No,Basic,College,2/1/11,Unemployed,F,0,Urban,Married,67,0,14,0,1,Corporate Auto,Corporate L2,Offer2,Call Center,222.903462,Two-Door Car,Medsize,2471.667630790001
QH46481,Washington,7700.619936,No,Basic,High School or Below,1/26/11,Unemployed,F,0,Suburban,Single,73,18,16,1,2,Corporate Auto,Corporate L1,Offer1,Branch,792.868448,Four-Door Car,Medsize,11591.318653449993
MQ73697,Nevada,3776.665506,No,Extended,College,2/21/11,Employed,F,68727,Urban,Married,94,19,76,0,1,Corporate Auto,Corporate L3,Offer4,Call Center,386.520235,Two-Door Car,Large,3773.8079796599964
UG48681,Nevada,8044.872393,Yes,Basic,Bachelor,2/19/11,Employed,M,71391,Urban,Married,67,29,39,0,2,Personal Auto,Personal L3,Offer2,Agent,284.000172,Four-Door Car,Medsize,8349.91497949002
ID58230,California,5029.671927,No,Basic,College,1/2/11,Employed,F,62271,Rural,Married,63,30,52,0,3,Personal Auto,Personal L3,Offer4,Agent,25.478179,Four-Door Car,Medsize,5024.546916809996
DY35486,California,19957.79034,No,Basic,High School or Below,1/29/11,Unemployed,M,0,Suburban,Single,187,1,7,0,2,Personal Auto,Personal L2,Offer1,Agent,1346.4,Luxury Car,Large,23977.615844499996
EP64833,California,6179.699689,No,Extended,High School or Below,2/26/11,Unemployed,F,0,Suburban,Single,86,12,96,0,8,Corporate Auto,Corporate L3,Offer3,Call Center,412.8,Four-Door Car,Medsize,6114.714643519995
MC69755,Washington,5678.050167,Yes,Extended,Bachelor,1/19/11,Unemployed,F,0,Suburban,Married,76,8,44,0,3,Personal Auto,Personal L3,Offer2,Agent,364.8,Four-Door Car,Small,5673.647384709995
ZZ41158,Washington,4089.429492,No,Basic,College,2/24/11,Employed,M,28506,Suburban,Married,104,27,37,0,1,Personal Auto,Personal L1,Offer2,Agent,499.2,SUV,Small,4072.2066691700034
QM59790,Arizona,3142.87734,No,Extended,High School or Below,2/25/11,Unemployed,F,0,Suburban,Divorced,86,17,35,0,1,Personal Auto,Personal L3,Offer4,Branch,412.8,Four-Door Car,Small,3129.033806760002
LL67008,California,22895.34606,No,Extended,Bachelor,1/20/11,Unemployed,F,0,Suburban,Single,94,14,17,0,2,Corporate Auto,Corporate L2,Offer1,Agent,676.8,Four-Door Car,Medsize,13213.211566790005
ZU69163,California,5586.893159,No,Basic,Doctor,1/21/11,Employed,F,94161,Rural,Married,69,0,65,0,4,Personal Auto,Personal L3,Offer2,Agent,108.989737,Four-Door Car,Medsize,5569.327055590007
EB72052,Oregon,12105.29422,No,Basic,College,2/6/11,Employed,M,33345,Suburban,Divorced,102,34,37,0,2,Personal Auto,Personal L3,Offer2,Call Center,694.078608,SUV,Medsize,15523.867240150019
WA60547,California,11971.97765,No,Premium,College,2/13/11,Employed,F,64195,Urban,Divorced,158,0,27,4,6,Personal Auto,Personal L1,Offer1,Branch,618.288849,SUV,Medsize,12067.648208100014
RV97631,Oregon,15328.45723,No,Extended,College,2/12/11,Unemployed,F,0,Suburban,Married,138,1,34,0,2,Corporate Auto,Corporate L2,Offer1,Agent,688.828746,SUV,Small,17369.08585220002
SS20130,Oregon,5424.256733,No,Basic,Bachelor,2/27/11,Employed,F,67414,Rural,Married,68,7,37,0,8,Personal Auto,Personal L1,Offer2,Branch,148.778455,Four-Door Car,Medsize,5428.2687084799945
ZI72165,Arizona,4981.825724,No,Basic,High School or Below,1/26/11,Employed,M,33176,Suburban,Married,63,22,75,0,3,Corporate Auto,Corporate L3,Offer3,Branch,302.4,Four-Door Car,Medsize,4964.914194149997
HD29166,Oregon,14635.45158,Yes,Extended,Bachelor,2/27/11,Unemployed,F,0,Suburban,Divorced,139,5,56,0,2,Personal Auto,Personal L3,Offer1,Call Center,667.2,SUV,Medsize,14969.817726000027
NP30139,Oregon,6862.866306,No,Extended,College,1/15/11,Employed,M,56779,Suburban,Divorced,86,21,16,0,3,Corporate Auto,Corporate L1,Offer3,Web,435.388932,Four-Door Car,Medsize,6827.834110440004
FV54537,California,13745.04802,No,Basic,College,1/10/11,Employed,M,40810,Suburban,Married,114,8,14,0,2,Personal Auto,Personal L2,Offer1,Branch,780.378964,SUV,Medsize,16470.95186470002
SG62327,Nevada,8111.651948,No,Basic,High School or Below,2/21/11,Employed,M,30622,Suburban,Married,68,22,86,0,2,Corporate Auto,Corporate L3,Offer1,Agent,326.4,Four-Door Car,Small,9320.383341369994
FX26050,Oregon,22712.02364,No,Basic,Doctor,1/16/11,Disabled,M,14119,Rural,Married,67,4,53,0,2,Special Auto,Special L1,Offer4,Agent,68.019973,Two-Door Car,Medsize,18442.88266087002
DU50092,Oregon,56675.93768,No,Premium,College,1/24/11,Employed,F,77237,Suburban,Married,283,33,93,0,2,Personal Auto,Personal L1,Offer4,Web,1358.4,Luxury SUV,Medsize,54973.783819300064
EU48798,Nevada,8160.587729,No,Basic,College,2/21/11,Disabled,F,24980,Suburban,Divorced,71,34,14,0,2,Personal Auto,Personal L3,Offer2,Web,511.2,Two-Door Car,Medsize,10912.96162255001
WE93328,Nevada,3919.366722,Yes,Extended,High School or Below,1/5/11,Employed,F,66676,Suburban,Married,97,0,40,0,1,Corporate Auto,Corporate L3,Offer3,Agent,558.099357,Four-Door Car,Small,3913.9509502300043
KP83069,California,7286.155383,No,Basic,High School or Below,1/8/11,Unemployed,F,0,Suburban,Single,69,4,83,1,2,Personal Auto,Personal L3,Offer2,Branch,669.716478,Four-Door Car,Small,10704.792798100003
GO56075,Oregon,7589.634,No,Basic,High School or Below,1/24/11,Unemployed,M,0,Suburban,Married,69,30,97,0,2,Personal Auto,Personal L3,Offer1,Branch,331.2,Four-Door Car,Small,12575.760154200001
DI19952,Arizona,9032.370378,No,Extended,Bachelor,1/8/11,Unemployed,F,0,Rural,Married,82,24,21,0,2,Personal Auto,Personal L1,Offer1,Branch,157.208336,Four-Door Car,Medsize,11688.602928510005
SV58690,California,5555.556089,No,Basic,Bachelor,1/25/11,Employed,M,41853,Rural,Single,71,17,51,0,3,Personal Auto,Personal L2,Offer1,Agent,155.511553,Two-Door Car,Medsize,5560.586639830002
RF35142,Nevada,8257.666512,Yes,Basic,Bachelor,1/12/11,Disabled,F,23815,Suburban,Married,73,4,47,0,2,Personal Auto,Personal L1,Offer2,Call Center,424.330166,Four-Door Car,Medsize,8911.345790440015
CU69816,California,2721.749756,No,Basic,Bachelor,2/22/11,Medical Leave,M,22885,Suburban,Married,73,20,46,0,1,Corporate Auto,Corporate L2,Offer2,Web,386.245297,Four-Door Car,Medsize,2745.776058119998
JM67025,Nevada,5230.092742,No,Basic,High School or Below,1/2/11,Employed,M,32630,Urban,Married,66,26,40,0,3,Personal Auto,Personal L2,Offer1,Call Center,202.961374,Four-Door Car,Medsize,5233.637696950003
OB69329,California,6273.911874,Yes,Extended,College,2/16/11,Retired,F,18577,Suburban,Divorced,86,21,76,0,6,Personal Auto,Personal L2,Offer1,Branch,412.8,Four-Door Car,Medsize,6272.311455099993
GF19726,Oregon,5866.068903,No,Basic,High School or Below,2/10/11,Employed,M,75952,Suburban,Married,73,5,17,0,3,Personal Auto,Personal L2,Offer2,Branch,350.4,Two-Door Car,Medsize,5865.409666929996
FH39427,Nevada,8802.188243,No,Basic,Bachelor,1/29/11,Employed,M,96390,Urban,Married,73,17,47,0,2,Corporate Auto,Corporate L3,Offer4,Agent,316.977588,Two-Door Car,Medsize,13086.131541690005
VM69145,California,8722.895091,No,Basic,College,1/17/11,Employed,F,25680,Urban,Divorced,73,10,93,0,2,Personal Auto,Personal L3,Offer1,Agent,332.40907,Two-Door Car,Medsize,11784.44584085
GN76399,Nevada,8178.521899,No,Premium,Bachelor,2/6/11,Unemployed,M,0,Suburban,Single,112,17,29,0,7,Personal Auto,Personal L3,Offer1,Call Center,806.4,Four-Door Car,Medsize,8041.884323320008
IV94496,Nevada,43217.21611,No,Extended,High School or Below,1/27/11,Employed,M,51504,Suburban,Single,220,30,99,0,2,Personal Auto,Personal L3,Offer1,Agent,2552.343856,Luxury SUV,Medsize,41689.76524989996
NM91640,Oregon,2442.216651,No,Basic,High School or Below,1/7/11,Unemployed,M,0,Suburban,Single,74,15,9,3,1,Personal Auto,Personal L1,Offer4,Branch,532.8,Four-Door Car,Medsize,2398.3850709299986
DS46955,California,2919.710443,No,Basic,Master,1/2/11,Employed,F,41456,Urban,Married,73,11,19,0,1,Personal Auto,Personal L2,Offer4,Branch,257.380112,Four-Door Car,Medsize,2913.3057608499994
LU82585,Nevada,6366.225775,Yes,Extended,High School or Below,1/7/11,Employed,M,44368,Suburban,Married,80,5,72,0,3,Personal Auto,Personal L2,Offer2,Call Center,384.0,Two-Door Car,Large,6367.424633990009
QX31376,Oregon,17114.32815,No,Extended,Master,1/4/11,Employed,F,70961,Suburban,Married,85,19,8,0,2,Corporate Auto,Corporate L3,Offer2,Agent,408.0,Four-Door Car,Small,16153.902588910008
SQ36805,Oregon,2395.57,Yes,Basic,Doctor,1/27/11,Disabled,F,21986,Suburban,Divorced,63,1,9,0,1,Personal Auto,Personal L3,Offer2,Branch,333.696228,Two-Door Car,Medsize,2395.1917701500047
UY57856,Oregon,2987.949471,No,Extended,College,2/27/11,Unemployed,F,0,Suburban,Single,83,14,22,0,1,Corporate Auto,Corporate L2,Offer3,Branch,708.693556,Four-Door Car,Medsize,2968.434425479999
OG84541,Arizona,12780.276,No,Basic,Master,2/24/11,Employed,F,33514,Urban,Married,105,33,2,0,2,Personal Auto,Personal L2,Offer1,Branch,265.215014,Sports Car,Medsize,20418.480169749997
NT66759,Arizona,3906.669584,No,Extended,College,1/9/11,Employed,F,60230,Rural,Married,98,13,91,0,1,Personal Auto,Personal L2,Offer2,Web,8.129056,Four-Door Car,Small,3899.232249579999
PR74307,California,2594.591182,No,Basic,High School or Below,1/23/11,Unemployed,M,0,Suburban,Married,70,17,47,1,1,Corporate Auto,Corporate L2,Offer2,Agent,494.196873,Four-Door Car,Medsize,2575.9882303900017
PW15144,Washington,5267.848664,No,Basic,College,1/3/11,Employed,M,40818,Suburban,Married,66,6,3,0,6,Personal Auto,Personal L2,Offer4,Call Center,316.8,Four-Door Car,Medsize,5258.312328059997
KS89479,Oregon,9095.049868,Yes,Basic,College,1/11/11,Employed,M,37937,Suburban,Married,116,11,42,0,5,Personal Auto,Personal L3,Offer2,Call Center,556.8,SUV,Medsize,9094.724855409984
QA22158,Arizona,7122.273163,No,Extended,College,2/23/11,Employed,F,64571,Suburban,Divorced,89,34,91,0,6,Corporate Auto,Corporate L3,Offer1,Call Center,452.115601,Four-Door Car,Small,7108.054675410004
MK32733,California,9117.441695,No,Extended,Bachelor,1/18/11,Unemployed,M,0,Urban,Married,126,29,61,0,3,Corporate Auto,Corporate L3,Offer1,Branch,421.906803,SUV,Medsize,9132.213046500012
WL85494,California,41075.42879,No,Extended,College,2/17/11,Employed,M,21988,Suburban,Married,209,12,62,0,2,Personal Auto,Personal L3,Offer2,Branch,1003.2,Luxury Car,Medsize,37303.26174289996
RZ79717,Arizona,3486.699561,No,Extended,High School or Below,1/15/11,Unemployed,M,0,Suburban,Single,95,12,5,0,1,Corporate Auto,Corporate L3,Offer1,Branch,684.0,Four-Door Car,Medsize,3476.689461039996
NS12730,Oregon,7297.687812,No,Extended,Bachelor,2/23/11,Employed,M,24672,Suburban,Married,93,9,44,0,9,Personal Auto,Personal L2,Offer4,Branch,669.6,Two-Door Car,Medsize,7294.246202400001
YK32760,Oregon,2502.209885,No,Basic,High School or Below,2/15/11,Unemployed,M,0,Suburban,Divorced,74,26,95,1,1,Corporate Auto,Corporate L1,Offer1,Agent,355.2,Four-Door Car,Medsize,2547.784963099997
SS77718,California,9955.490835,No,Extended,Bachelor,1/12/11,Unemployed,M,0,Suburban,Single,96,1,79,0,2,Personal Auto,Personal L3,Offer2,Call Center,460.8,Four-Door Car,Large,12281.530121559994
QP62600,Oregon,7094.158873,No,Basic,Bachelor,1/4/11,Employed,M,72878,Rural,Married,61,0,58,2,2,Corporate Auto,Corporate L3,Offer2,Agent,45.463345,Two-Door Car,Medsize,8570.55467130999
ET47892,Oregon,12280.76661,Yes,Premium,College,1/1/11,Employed,M,88340,Suburban,Married,102,16,1,0,2,Personal Auto,Personal L3,Offer1,Branch,489.6,Two-Door Car,Medsize,12303.160369400024
PS78418,Oregon,5773.90039,No,Basic,Bachelor,2/25/11,Employed,M,52278,Urban,Married,73,31,91,0,3,Personal Auto,Personal L2,Offer1,Branch,234.997994,Two-Door Car,Medsize,5826.695556160002
SK32629,California,4904.894731,Yes,Extended,College,2/14/11,Retired,F,12902,Suburban,Divorced,139,3,51,0,1,Personal Auto,Personal L3,Offer1,Agent,667.2,Sports Car,Medsize,4907.201744770006
LQ79472,Arizona,3423.822189,No,Extended,College,1/17/11,Employed,M,99816,Rural,Single,86,0,0,0,1,Corporate Auto,Corporate L2,Offer3,Branch,172.913031,Two-Door Car,Medsize,3417.9179297400037
AI58500,Arizona,2689.16845,No,Basic,College,2/9/11,Employed,F,26554,Suburban,Married,68,18,86,1,1,Personal Auto,Personal L2,Offer3,Web,391.687368,Two-Door Car,Small,2696.695388349999
ME47990,California,3109.007806,No,Extended,High School or Below,1/31/11,Employed,M,77485,Urban,Married,77,0,87,0,1,Corporate Auto,Corporate L2,Offer2,Branch,355.909266,Four-Door Car,Medsize,3097.827497350003
KU25309,Oregon,22425.25604,No,Basic,College,2/22/11,Employed,M,22537,Suburban,Married,64,24,87,1,2,Corporate Auto,Corporate L3,Offer4,Branch,307.2,Four-Door Car,Medsize,19323.568553429974
RW66792,California,5705.547071,No,Basic,High School or Below,1/11/11,Employed,F,76522,Suburban,Married,71,31,71,0,6,Personal Auto,Personal L2,Offer2,Branch,340.8,Four-Door Car,Medsize,5714.507292429995
MN32305,Oregon,2063.387895,No,Basic,College,2/25/11,Unemployed,F,0,Suburban,Single,64,22,34,3,1,Personal Auto,Personal L3,Offer1,Agent,602.911057,Four-Door Car,Small,2062.3119149899967
XS98744,Oregon,5096.673223,Yes,Basic,Master,1/28/11,Disabled,F,22886,Suburban,Divorced,65,9,81,0,3,Special Auto,Special L1,Offer1,Agent,312.0,Four-Door Car,Small,5090.2876244600075
SL19130,Oregon,4101.935985,No,Premium,High School or Below,1/5/11,Unemployed,M,0,Suburban,Single,115,1,34,0,1,Personal Auto,Personal L1,Offer1,Branch,552.0,Two-Door Car,Medsize,4100.527581229996
JG66653,Oregon,2537.929538,No,Basic,High School or Below,1/22/11,Employed,M,25506,Suburban,Married,65,10,16,0,1,Personal Auto,Personal L3,Offer3,Branch,312.0,Two-Door Car,Medsize,2546.065609659998
GQ17441,Nevada,3651.69247,No,Basic,High School or Below,1/6/11,Unemployed,M,0,Suburban,Single,110,7,70,0,1,Personal Auto,Personal L2,Offer2,Agent,1265.387328,SUV,Large,3712.747790890002
WL67313,California,10014.05568,No,Extended,College,2/5/11,Unemployed,F,0,Suburban,Single,98,19,17,1,2,Personal Auto,Personal L3,Offer1,Branch,705.6,Two-Door Car,Small,14945.132867149994
LX33054,Oregon,6758.807188,No,Basic,High School or Below,2/7/11,Unemployed,M,0,Suburban,Single,191,22,38,0,1,Personal Auto,Personal L2,Offer3,Web,2042.569089,Luxury Car,Medsize,6648.221242169995
HN97052,Oregon,5205.90965,No,Basic,College,2/24/11,Unemployed,F,0,Suburban,Married,72,18,91,0,9,Personal Auto,Personal L3,Offer1,Branch,345.6,Two-Door Car,Medsize,5288.582126879995
EB12732,Oregon,2847.965582,No,Basic,High School or Below,1/31/11,Employed,F,96357,Urban,Married,71,4,69,1,1,Personal Auto,Personal L3,Offer2,Branch,238.245103,Four-Door Car,Medsize,2846.542890490001
KA29693,California,11513.35549,No,Basic,College,1/13/11,Medical Leave,M,16266,Suburban,Married,100,11,23,0,2,Special Auto,Special L1,Offer2,Web,1177.323534,SUV,Medsize,14291.192865679996
KE41602,Arizona,7588.35586,No,Extended,High School or Below,2/23/11,Employed,M,76516,Suburban,Married,95,13,15,0,9,Personal Auto,Personal L1,Offer2,Branch,661.008979,Two-Door Car,Medsize,7593.104671610001
QF17193,Arizona,2389.310128,No,Basic,College,2/18/11,Employed,F,20484,Urban,Married,61,3,89,0,1,Personal Auto,Personal L3,Offer2,Agent,181.218317,Four-Door Car,Medsize,2406.8210416700035
IQ63581,California,5066.827444,No,Basic,Master,2/21/11,Employed,F,40215,Rural,Divorced,64,11,22,0,3,Personal Auto,Personal L2,Offer3,Branch,98.480884,Four-Door Car,Medsize,5068.7223776599985
MR39613,California,36860.90798,No,Extended,Bachelor,2/1/11,Medical Leave,M,22854,Suburban,Married,122,28,53,0,2,Special Auto,Special L2,Offer1,Branch,878.4,Sports Car,Small,30865.52694610001
RQ22171,California,3961.58618,No,Basic,High School or Below,1/30/11,Unemployed,F,0,Rural,Single,118,6,34,1,1,Corporate Auto,Corporate L2,Offer2,Agent,264.642948,SUV,Medsize,4034.0832849800004
QV89791,California,8476.80656,No,Premium,High School or Below,2/15/11,Employed,F,55217,Suburban,Married,107,9,9,2,9,Personal Auto,Personal L3,Offer1,Branch,696.115596,Two-Door Car,Medsize,8489.796516670012
